model_key,strategy,data_fraction,trainable_params,total_params,trainable_pct,test_accuracy,test_f1_macro,latency_cpu_mean_ms,latency_cpu_p95_ms,onnx_mean_ms
dinov2_base,full_finetune,0.01,86595850,86595850,100.0,0.2911111111111111,0.21975622428853675,278.17102399421856,348.4246549778618,390.13164099422283
dinov2_base,full_finetune,0.05,86595850,86595850,100.0,0.665,0.6412775005103588,386.0797960020136,429.6318200416863,938.7594529951457
dinov2_base,full_finetune,0.1,86595850,86595850,100.0,0.9105555555555556,0.9078748704726621,377.757948001381,420.27767501422204,934.3314389989246
dinov2_base,full_finetune,1.0,86595850,86595850,100.0,0.9685185185185186,0.9676303792945591,130.88063700473867,138.6991899635177,162.6268319983501
dinov2_base,linear_probe,1.0,15370,86595850,0.02,0.9537037037037037,0.9522519028987999,619.759867999237,1261.0307149996515,281.56137699377723
dinov2_base,partial_unfreeze,1.0,14194186,86595850,16.39,0.9781481481481481,0.9775194053169474,1400.1211059943307,1526.1606949963607,189.29425799869932
efficientnet_b0,full_finetune,0.01,4020358,4020358,100.0,0.6244444444444445,0.5955189346143964,33.171655997866765,36.59564002882689,5.6357500061858445
efficientnet_b0,full_finetune,0.05,4020358,4020358,100.0,0.8818518518518519,0.8767194665075595,32.59065600228496,39.295735041378066,5.883664002176374
efficientnet_b0,full_finetune,0.1,4020358,4020358,100.0,0.9496296296296296,0.9483073561766021,34.71410000231117,38.99500004481524,6.022574995877221
efficientnet_b0,full_finetune,1.0,4020358,4020358,100.0,0.98,0.979280998181135,24.814746003830805,26.999825035454705,5.863368002464995
efficientnet_b0,linear_probe,1.0,12810,4020358,0.32,0.7948148148148149,0.7809052859018398,256.09645599732175,408.01695002010086,180.34733400912955
efficientnet_b0,partial_unfreeze,1.0,1317994,4020358,32.78,0.929074074074074,0.9301663377190768,223.09119199751876,328.9668799901846,251.58877000794746
resnet50,full_finetune,0.01,23528522,23528522,100.0,0.4725925925925926,0.4179314273493554,51.19766000309028,56.566605088301,13.289995993254706
resnet50,full_finetune,0.05,23528522,23528522,100.0,0.8742592592592593,0.8677619353644417,50.15098599018529,54.57709497422911,13.510391992749646
resnet50,full_finetune,0.1,23528522,23528522,100.0,0.955,0.9539984153130237,52.14626100263558,57.82427008380182,13.239789000945166
resnet50,full_finetune,1.0,23528522,23528522,100.0,0.9851851851851852,0.984959840640571,588.9890659938101,685.8489250007551,22.611379998270422
resnet50,linear_probe,1.0,20490,23528522,0.09,0.7781481481481481,0.767100024712785,280.6756359967403,295.5820000381209,27.832168996101245
resnet50,partial_unfreeze,1.0,22083594,23528522,93.86,0.98,0.9794576157764785,272.2289130068384,280.1109350286424,25.706364989746362
vit_base,full_finetune,0.01,85806346,85806346,100.0,0.9051851851851852,0.9027320926627279,102.24173900205642,106.86146500520408,64.18777900049463
vit_base,full_finetune,0.05,85806346,85806346,100.0,0.9418518518518518,0.9423337169700268,103.88049000292085,108.14690999686718,70.50101999309845
vit_base,full_finetune,0.1,85806346,85806346,100.0,0.9724074074074074,0.9715455652190702,111.66012300294824,120.44751506182365,72.21648301114328
vit_base,full_finetune,1.0,85806346,85806346,100.0,0.99,0.9899090895588749,1040.4335180053022,1165.4658150102478,590.3393019957002
vit_base,linear_probe,1.0,7690,85806346,0.01,0.8885185185185185,0.8854742550753688,399.3102539994288,457.19052000786144,71.15523100597784
vit_base,partial_unfreeze,1.0,14183434,85806346,16.53,0.9614814814814815,0.9609296597632891,355.7668799976818,382.5936499692034,66.19151300750673
